headline;title;description;pubTime;pubDate
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Rueckhalt fuer Schutzmassnahmen;Einer Umfrage von mehreren Hochschulen unter der Leitung der Universitaet Hamburg zufolge befuerwortet ein Grossteil der in Europa lebenden Buerger die wegen der Corona-Pandemie angeordneten Einschraenkungen.;15:44;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Friseurbesuche werden etwas teurer;Der Haarschnitt beim Friseur wird in Corona-Zeiten etwas teurer werden.;15:34;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Spaete Krebsdiagnose durch Pandemie?;Um die Auswirkungen der Corona-Pandemie auf die Behandlung von Krebspatienten zu untersuchen, haben die Deutsche Krebshilfe, das Deutsche Krebsforschungszentrum und die Deutsche Krebsgesellschaft eine gemeinsame Taskforce gegruendet.;15:25;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Die verwaisten Innenstaedte fuellen sich wieder;Die Wiedereroeffnung kleinerer Geschaefte zieht die Menschen vor allem in Grossstaedten wieder in die Einkaufsstrassen.;15:00;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Griechenland verlaengert Ausgangsbeschraenkungen;Die seit dem 22. Maerz in Griechenland geltenden Auflagen wegen der Corona-Pandemie wurden von der Regierung des Landes um eine Woche bis zum 4. Mai verlaengert.;14:57;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Arbeitslosigkeit in den USA nimmt weiter drastisch zu;In der vergangenen Woche haben erneut rund 4,4 Millionen Amerikaner einen Erstantrag auf Arbeitslosenhilfe gestellt.;14:49;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Voss-Tecklenburg begruesst neuen Termin fuer Frauen-EM;Bundestrainerin Martina Voss-Tecklenburg sieht in der Entscheidung der Europaeischen Fussball-Union, die EM im Frauen-Fussball auf das Jahr 2022 zu verschieben, einen richtigen Schritt.;14:45;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Autofahrer muessen auch mit Masken erkennbar sein;Autofahrer muessen auch mit einer Schutzmaske identifizierbar bleiben.;14:33;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Soeder warnt vor moeglichem Rueckfall;Der bayerische Ministerpraesident Markus Soeder hat davor gewarnt, dass vorschnelle Lockerungen der Corona-Schutzmassnahmen zu einem moeglichen Rueckfall und einer unkontrollierten Ausbreitung der Pandemie fuehren koennten.;14:18;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Mehr als 35.000 Faelle in den Niederlanden;Die Zahl der bestaetigten Coronavirus-Infektionen ist in den Niederlanden in den vergangenen 24 Stunden um fast 900 auf insgesamt mehr als 35.700 Faelle angestiegen.;14:10;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Prager Gericht kippt Anti-Corona-Massnahmen;Ein Gericht in Prag hat einen Grossteil der Corona-Massnahmen der tschechischen Regierung fuer rechtswidrig erklaert.;13:50;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Frauenfussball-EM in England im Sommer 2022;Die eigentlich fuer das naechste Jahr geplante Frauen-EM soll vom 6.;13:41;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Viruskrise drueckt die Kauflaune;Die Viruskrise drueckt die Verbraucherstimmung in Deutschland auf ein historisches Tief.;13:33;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Mehr als 22.000 Corona-Tote in Spanien;In Spanien sind mehr als 22.000 Menschen durch die Corona-Pandemie ums Leben gekommen.;13:08;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;EU-Kommission erwaegt zwei Billionen Euro als Corona-Hilfen;Die Europaeische Kommission erwaegt einem internen Dokument zufolge eine zwei Billionen Euro schwere Finanzierung zum Wiederaufbau nach der Corona-Krise.;13:04;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;China zahlt WHO zusaetzlich 30 Millionen Dollar;Nachdem die USA ihre Zahlungen an die Weltgesundheitsorganisation WHO gestoppt haben, hat China eine Erhoehung seines Beitrags angekuendigt.;12:32;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Nach Lockerungen: Innenstaedte beleben sich unterschiedlich;Die deutschen Innenstaedte beleben sich nach den ersten Corona-Lockerungen fuer den Einzelhandel sehr unterschiedlich.;12:28;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Dramatische Situation in Brasilien;Es sind Bilder, die bisher nur aus New York oder der Lombardei bekannt sind: Ueberlastete Krankenhaeuser, Massengraeber, Hilferufe.;12:12;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Laenderinitiative fuer weitere Lockerungen in Gastronomie und Handel;Zusammen mit ihren Kollegen aus Niedersachsen und Nordrhein-Westfalen will Baden-Wuerttembergs Wirtschaftsministerin Nicole Hoffmeister-Kraut (CDU) weitere und vor allem einheitliche Lockerungen der Corona-Vorgaben durchsetzen.;11:30;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Vietnam lockert Corona-Beschraenkungen;Chinas Nachbarland Vietnam hat damit begonnen, die Ausgangsbeschraenkungen zu lockern.;11:24;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;"EU-Ratschef fuer ""beispiellose Investitionen"" nach Corona-Krise";"Fuer die Erholung der Wirtschaft nach der Corona-Krise werden nach Einschaetzung von EU-Ratschef Charles Michel ""beispiellose Investitionen"" im Rahmen eines europaeischen Marshall-Plans noetig.";11:12;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Genesene Sportler mit Lungenschaeden;Der Leiter der Notfallaufnahme in Innsbruck, Frank Hartig, konnte bei Tauchern schwere Lungenschaeden durch Covid-19 nachweisen.;11:12;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Deutsche horten weniger Klopapier;Nach Hamsterkaeufen zu Beginn der Corona-Pandemie scheinen die Verbraucher in Deutschland zunehmend zum Alltag zurueckzukehren.;10:53;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Oesterreich holt Pflegekraefte aus Rumaenien mit Korridorzuegen;Oesterreich holt mit Korridorzuegen dringend benoetigte Pflegekraefte aus Rumaenien in die Alpenrepublik.;10:32;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;"Lindner kuendigt ""Einmuetigkeit"" zwischen Regierung und Opposition auf";"FDP-Chef Christian Lindner sagt im Bundestag, die Zeit der ""grossen Einmuetigkeit"" zwischen Regierung und Opposition im Parlament sei nun vorbei.";10:03;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;AfD haelt Corona-Massnahmen fuer weitgehend ueberfluessig;Die AfD haelt die von Bund und Laendern angeordneten Kontaktbeschraenkungen zur Bekaempfung der Corona-Pandemie inzwischen fuer weitgehend ueberfluessig.;10:01;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Merkel mahnt zur Disziplin;Bundeskanzlerin Angela Merkel hat in der Corona-Krise zu Ausdauer und Disziplin aufgerufen.;09:45;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Merkel: EU-Rettungspaket muss schnell umgesetzt werden;Bundeskanzlerin Angela Merkel will das 500 Milliarden Euro schwere Rettungspaket der EU schnell umsetzen.;09:34;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;"Merkel beklagt zu ""forsches Vorgehen""";Kanzlerin Angela Merkel sagt, sie trage die Beschluesse von Bund und Laendern zu ersten Lockerungen der Auflagen vorbehaltlos mit.;09:30;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Kanzlerin wertet Massnahmen als Erfolg;Bundeskanzlerin Angela Merkel wertet in ihrer Regierungserklaerung im Bundestag die bisherigen Massnahmen als Erfolg.;09:21;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;"Merkel: ""Werden lange mit der Krise leben muessen""";"Bundeskanzlerin Angela Merkel hat in einer Regierungserklaerung betont, dass die ""Pandemie eine demokratische Zumutung"" sei.";09:12;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Giffey lehnt Corona-Sonderauflagen fuer Aeltere erneut ab;Bundesfamilienministerin Franziska Giffey (SPD) hat gesonderten Auflagen fuer Aeltere in der Corona-Krise erneut eine Absage erteilt.;09:02;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Brinkhaus besorgt ueber Kosten der Krise;Unionsfraktionschef Ralph Brinkhaus (CDU) hat sich besorgt ueber die Kosten der Hilfsmassnahmen in der Corona-Krise geaeussert.;08:53;23.04.2020
Coronavirus-Pandemie | ++ Lindner fordert andere Loesungen ++;Umsatz von Renault bricht ein;Die Corona-Krise setzt dem franzoesischen Autobauer Renault massiv zu.;07:58;23.04.2020
